DOY_disc,site,site_char,salinity,wtd,wtd_sd,nitrate,fpar,lue,evi,par
156,5,US_PLM,25.66916563,8.820833333,NA,0.062,0,0.010523377,0.22588125,481.685318
157,1,US_EDN,32.339694664999996,-1.6963125000000001,9.166316064759195,0.91161458325,0,0.006,0.11682520175,658.0358623
157,2,US_SRR,3.4914583331999998,-30.50158376,0,1.2407428756,0,0.009,0.3552451428,662.85126924
157,3,US_STJ,11.35,-0.2898644316666667,0.020730614161601102,0.43378633333333333,0,0.019,0.292166558,294.84305556666664
157,4,US_LA1,10.77541667,-6.9469,NA,0.2,0,0.006567397,0.24965,280.8447276
157,5,US_PLM,25.56011771,11.25416667,NA,0.062,0,0.010523377,0.229825,481.8013303
158,1,US_EDN,32.290554039999996,2.7683343749999993,10.02740901408056,0.90241847825,0,0.006,0.11668156925,711.78573805
158,2,US_SRR,3.5304166668000003,-33.8842081,0,1.2334156592,0,0.009,0.3559125714,634.74565092
158,3,US_STJ,12.983333333333333,-0.29102762633333334,0.022745326423360905,0.420924762,0,0.019,0.29725614133333333,262.9449652566667
158,4,US_LA1,12.21083333,-4.699,NA,0.2,0,0.006567397,0.2533875,230.5571461
158,5,US_PLM,25.45959792,10.29375,NA,0.062,0,0.010523377,0.23376875,718.8177946
159,1,US_EDN,32.258106125,3.5610093749999994,12.424861751911026,0.89611979175,0,0.006,0.11653793700000001,718.643614975
159,2,US_SRR,3.57,-37.41713527,0,1.226088443,0,0.009,0.35658,617.0526579
159,3,US_STJ,12.15,-0.308319293,0.05269537163757275,0.4172075553333333,0,0.019,0.30234572466666665,355.86284721
159,4,US_LA1,10.76208333,-2.7432,NA,0.2,0,0.006567397,0.257125,172.4984947
159,5,US_PLM,25.36067292,7.804166667,NA,0.062,0,0.010523377,0.2377125,721.0162882
160,1,US_EDN,32.236569665,1.8023531249999993,12.168259582261097,0.90106770825,0,0.006,0.11639430425,702.4455609
160,2,US_SRR,3.6343750002,-39.88912517,0,1.2187612267999999,0,0.009,0.35724742860000003,621.75288954
160,3,US_STJ,10.75,-0.317538043,0.06866271501984833,0.413490349,0,0.019,0.307435308,321.99305555666666
160,4,US_LA1,8.727916667,-2.8575,NA,0.2,0,0.006567397,0.2608625,137.7172922
160,5,US_PLM,25.36687083,5.847916667,NA,0.062,0,0.010523377,0.24165625,700.724123
161,1,US_EDN,32.2156061225,-1.7094749999999994,11.62786955259593,0.9068125,0,0.006,0.11625067124999999,729.5669609500001
161,2,US_SRR,3.7414583334000002,-41.94836507,0,1.2114340103999999,0,0.009,0.3579148572,593.39199158
161,3,US_STJ,9.516666666666666,-0.34703533366666667,0.08374635636983487,0.409773143,0,0.019,0.31252489133333333,396.5899305566667
161,4,US_LA1,5.999166667,1.1303,NA,0.2,0,0.006567397,0.2646,165.1326752
161,5,US_PLM,25.30915938,5.672916667,NA,0.062,0,0.010523377,0.2456,631.3904151
162,1,US_EDN,32.1965175825,-5.5046625,9.125454443170215,0.9154427082500001,0,0.006,0.11621400275,710.468064175
162,2,US_SRR,3.9181249998,-36.37134991,0,1.204106794,0,0.009,0.3585822858,649.8142149
162,3,US_STJ,9.816666666666666,-0.40228464633333333,0.11409885343177396,0.4060559366666667,0,0.019,0.31620444866666664,430.42413193333334
162,4,US_LA1,10.3125,10.668,NA,0.2,0,0.006567397,0.262925,127.9798676
162,5,US_PLM,25.27116771,8.1875,NA,0.062,0,0.010523377,0.2506,296.2259022
163,1,US_EDN,32.191569664999996,-6.38655,9.5855847249105,0.9295052082499999,0,0.006,0.11631733425,708.454042575
163,2,US_SRR,4.0983333334,-3.963861786,0,1.1943741122,0,0.009,0.3588414286,687.17307872
163,3,US_STJ,10.416666666666666,-0.37846684233333333,0.14319264492852793,0.40233873,0,0.019,0.318531532,431.76909723333335
163,4,US_LA1,9.101666667,12.9159,NA,0.2,0,0.006567397,0.26125,217.3395638
163,5,US_PLM,25.44570104,5.9125,NA,0.062,0,0.010523377,0.2556,723.6392369
164,1,US_EDN,32.195085289999994,-1.8648656249999997,11.611996956934304,0.93921875,0,0.006,0.11646452425,676.360133425
164,2,US_SRR,4.278541667,0.038064917,0,1.1846414302,0,0.009,0.3586922858,669.3698907400001
164,3,US_STJ,10.783333333333333,-0.3532954546666667,0.20672529390694855,0.3986215236666667,0,0.019,0.3208586153333333,402.77291664333336
164,4,US_LA1,8.224166667,5.2959,NA,0.2,0,0.006567397,0.259575,149.1723921
164,5,US_PLM,25.67688438,8.629166667,NA,0.062,0,0.010523377,0.2606,125.711705
165,1,US_EDN,32.213757165,0.39725624999999987,11.535896155255724,0.946015625,0,0.006,0.116611714,707.269014375
165,2,US_SRR,4.4218750002,1.477343677,0,1.1777144628,0,0.009,0.358543143,652.13476472
165,3,US_STJ,12.366666666666667,-0.37036774,0.24341139579023452,0.3757773333333333,0,0.019,0.32318569866666663,403.02812499000004
165,4,US_LA1,7.39375,-2.8956,NA,0.2,0,0.006567397,0.2579,250.9348159
165,5,US_PLM,25.78816563,9.147916667,NA,0.062,0,0.010523377,0.2656,564.0284837
166,1,US_EDN,32.2631842475,2.5357968750000004,11.340787260042358,0.944453125,0,0.006,0.11675890375,649.87082965
166,2,US_SRR,4.5495833336,2.398417219,0,1.1707874947999999,0,0.009,0.358394,653.1628273
166,3,US_STJ,13.233333333333333,-0.30028769833333335,0.24639603797283605,0.352933143,0,0.019,0.325512782,417.78749999999997
166,4,US_LA1,6.626666667,-6.0579,NA,0.2,0,0.006567397,0.256225,206.5327716
166,5,US_PLM,25.64158958,7.660416667,NA,0.062,0,0.010523377,0.2706,702.5936014
167,1,US_EDN,32.394538415,-0.21333749999999974,16.34862061399409,0.952578125,0,0.006,0.11690609325000001,667.953236675
167,2,US_SRR,4.6185416668000006,1.92749202,0,1.1638605274,0,0.009,0.36474285700000003,655.28879302
167,3,US_STJ,13.55,-0.266374008,0.1912832511944749,0.33008895233333335,0,0.019,0.3278398653333333,412.86336807666663
167,4,US_LA1,5.859583333,-7.2517,NA,0.2,0,0.006567397,0.25455,205.5219069
167,5,US_PLM,25.53981042,7.052083333,NA,0.062,0,0.010523377,0.2756,121.3659614
168,1,US_EDN,31.955959636666666,4.718670833333333,4.645912687872356,0.905,0,0.006,0.11265914,703.3966997333333
168,2,US_SRR,4.57875,0.977229527,0,1.1569335598,0,0.009,0.3670387142,637.5217817600001
168,3,US_STJ,13.666666666666666,-0.28220982133333333,0.2018673325959732,0.3072447616666667,0,0.019,0.3301669486666667,210.32777777666666
168,4,US_LA1,4.453333333,-6.1087,NA,0.2,0,0.006567397,0.252875,214.766665
168,5,US_PLM,25.47083229,5.847916667,NA,0.062,0,0.010523377,0.2806,680.7576839
169,1,US_EDN,32.25484852666666,2.4917708333333337,5.522107978409,0.905,0,0.006,0.11285539266666667,714.2632741333333
169,2,US_SRR,4.4835416668,-4.643214334,0,1.1500065924,0,0.009,0.3693345714,634.23146032
169,3,US_STJ,13.533333333333333,-0.247204861,0.1993780502179888,0.28440057166666666,0,0.019,0.332494032,199.99374999
169,4,US_LA1,4.59,-0.3429,NA,0.2,0,0.006567397,0.2512,134.7389738
169,5,US_PLM,25.48031458,5.329166667,NA,0.062,0,0.010523377,0.2856,254.7931602
170,1,US_EDN,32.36325130333333,-0.5785041666666668,7.65290101449825,0.905,0,0.006,0.11305164566666666,698.4521878
170,2,US_SRR,4.429375,-8.915594905,0,1.1430796243999999,0,0.009,0.3716304286,671.94530158
170,3,US_STJ,11.433333333333334,-0.23879050933333335,0.21372187798161735,0.261556381,0,0.019,0.335764323,390.09409722333334
170,4,US_LA1,7.46375,6.4897,NA,0.2,0,0.006567397,0.249525,110.5126715
170,5,US_PLM,25.47513021,6.158333333,NA,0.062,0,0.010523377,0.2906,370.3673749
171,1,US_EDN,32.342522136666666,0.05865833333333326,2.2895304234825278,0.905,0,0.006,0.11324789933333333,732.8160177333333
171,2,US_SRR,4.4289583332,-12.74304669,0,1.136152657,0,0.009,0.3739262858,667.86310698
171,3,US_STJ,9.75,-0.2962789353333333,0.18683714016081895,0.2659344126666667,0,0.019,0.339939323,387.43263886666665
171,4,US_LA1,10.47291667,11.8999,NA,0.2,0,0.006567397,0.24785,256.207891
171,5,US_PLM,25.48098333,7.25,NA,0.062,0,0.010523377,0.2956,100.6988729
172,1,US_EDN,32.248112416666665,0.9078833333333334,0.5893745950864641,0.905,0,0.006,0.11344415199999999,714.5411204
172,2,US_SRR,4.5060416666,-16.98487007,0,1.1246384893999999,0,0.009,0.376222143,673.49249768
172,3,US_STJ,8.666666666666666,-0.29401041666666666,0.19586962928749885,0.25639577766666666,0,0.019,0.344114323,425.2630208333333
172,4,US_LA1,9.515,13.5382,NA,0.2,0,0.006567397,0.246175,244.3487664
172,5,US_PLM,25.54960938,8.152083333,NA,0.062,0,0.010523377,0.3006,250.5296756
173,1,US_EDN,32.13457075,-0.3766791666666665,2.670736856899624,0.905,0,0.006,0.113640405,763.6505098333333
173,2,US_SRR,4.6397916668,-21.95368076,0,1.1131243216,0,0.009,0.37851799999999997,679.6513008000001
173,3,US_STJ,8.816666666666666,-0.3319444443333333,0.17622194230496324,0.246857143,0,0.019,0.348289323,397.21458332333333
173,4,US_LA1,8.77625,12.3063,NA,0.2,0,0.006567397,0.2445,198.420576
173,5,US_PLM,25.48815417,5.15625,NA,0.062,0,0.010523377,0.3056,651.9466848
174,1,US_EDN,32.02797352666666,-2.2403916666666666,4.441182828726721,0.905,0,0.006,0.11383665766666666,771.5799232
174,2,US_SRR,4.7604166666,-25.5855767,0,1.101610154,0,0.009,0.380813857,674.87303344
174,3,US_STJ,10.15,-0.3240625,0.17504785259094552,0.24241031766666668,0,0.019,0.352464323,254.70798611
174,4,US_LA1,6.750833333,10.1727,NA,0.2,0,0.006567397,0.242825,227.297769
174,5,US_PLM,25.35769271,2.491666667,NA,0.062,0,0.010523377,0.3106,714.715729
175,1,US_EDN,31.921237413333333,0.591983333333333,6.220181760423753,0.905,0,0.006,0.11403291133333333,718.5273473666667
175,2,US_SRR,4.9449999998,-9.857343953,0,1.0900959864,0,0.009,0.3831097142,671.27616244
175,3,US_STJ,9.816666666666666,-0.3150625,0.15472885550742915,0.237963492,0,0.019,0.356639323,344.5293402766667
175,4,US_LA1,7.085833333,11.8999,NA,0.2,0,0.006567397,0.24115,267.6853944
175,5,US_PLM,25.23436146,2.2,NA,0.062,0,0.010523377,0.3156,698.2137578
176,1,US_EDN,31.81790408333333,-0.6623541666666668,5.849789645020544,0.905,0,0.006,0.11422916433333334,734.579857
176,2,US_SRR,5.091458333399999,-1.173884622,0,1.0785818192,0,0.009,0.3854055714,654.2093535
176,3,US_STJ,11.05,-0.3231820986666667,0.1594773571357076,0.23351666666666665,0,0.019,0.360814323,283.16979167666665
176,4,US_LA1,9.346666667,13.3096,NA,0.2,0,0.006567397,0.239475,223.879834
176,5,US_PLM,25.52708854,1.566666667,NA,0.062,0,0.010523377,0.3206,231.2859105
177,1,US_EDN,31.716202693333333,1.7468708333333334,5.264837501948858,0.905,0,0.006,0.11442351233333334,728.8173751666667
177,2,US_SRR,5.1831249998,-1.016436587,0,1.0670676512,0,0.009,0.3877512858,688.78538396
177,3,US_STJ,11.5,-0.27941165133333334,0.0761257884007177,0.22906984133333333,0,0.019,0.364989323,324.67361109999996
177,4,US_LA1,10.35,17.6276,NA,0.2,0,0.006567397,0.2378,240.2039421
177,5,US_PLM,25.32575729,1.5625,NA,0.062,0,0.010523377,0.3256,504.3893948
